ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberAnnotationToSuite,Replace `@Cucumber` with `@Suite`,Replace `@Cucumber` with `@Suite` and `@SelectClasspathResource("cucumber/annotated/class/package")`.,1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberApiToIoCucumber,Migrate `cucumber.api` to `io.cucumber`,"Cucumber-JVM 5.0.0 moved the `cucumber.api` types to `io.cucumber`, but not as a single package rename: types were spread over `io.cucumber.java`, `io.cucumber.junit`, `io.cucumber.testng`, `io.cucumber.plugin` and `io.cucumber.core`. This recipe maps each `cucumber.api` type onto the package it actually moved to.",36,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberJava8HookDefinitionToCucumberJava,Replace `cucumber-java8` hook definition with `cucumber-java`,Replace `LambdaGlue` hook definitions with new annotated methods with the same body.,1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberJava8StepDefinitionToCucumberJava,Replace `cucumber-java8` step definitions with `cucumber-java`,Replace `StepDefinitionBody` methods with `StepDefinitionAnnotations` on new methods with the same body.,1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberJava8ToJava,Migrate `cucumber-java8` to `cucumber-java`,Migrates `cucumber-java8` step definitions and `LambdaGlue` hooks to `cucumber-java` annotated methods.,5,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberOptionsPropertyToIndividualProperties,Migrate the `cucumber.options` property,"Cucumber-JVM 6.0.0 removed `cucumber.options`, which passed command line options as a single string, in favour of an individual property per option. This recipe splits the property into its replacements, both in `.properties` files and in Maven Surefire or Failsafe `systemPropertyVariables`. Options without a property equivalent, such as `--threads`, have no migration path, and leave the property untouched.",1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberOptionsToTestNgCucumberOptions,Migrate `cucumber.api.CucumberOptions` to `io.cucumber.testng.CucumberOptions`,Replace `cucumber.api.CucumberOptions` with the TestNG variant in source files that run through a TestNG runner.,3,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.CucumberToJunitPlatformSuite,Cucumber to JUnit test `@Suite`,Migrates Cucumber tests to JUnit test `@Suite`.,3,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.DropStrictOption,Drop the `strict` option,"Cucumber-JVM 7.0.0 removed the `strict` option, as scenarios are now always executed in strict mode.",4,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.DropSummaryPrinter,Drop `SummaryPrinter`,"Replace `SummaryPrinter` with `Plugin`, if not already present.",1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
